repo1,repo2,Similarity(No. 1),Similarity(No. 2)
bbangert/beaker,bbangert/beaker,0.301,0.044
dabeaz/ply,pyparsing/pyparsing,0.265,0.043
ovalhub/pyicu,linkedin/shiv,0.496,0.781
sergree/matchering,tyiannak/pyAudioAnalysis,0.101,0.587
dbcli/litecli,dbcli/litecli,0.164,0.296
wireservice/csvkit,devpi/devpi,0.288,0.234
rsalmei/alive-progress,glamp/bashplotlib,0.242,0.53
elapouya/python-docx-template,benedekrozemberczki/karateclub,0.11,0.418
benoitc/gunicorn,wireservice/csvkit,0.092,0.268
python-pillow/Pillow,lincolnloop/python-qrcode,0.092,0.221
h2oai/h2o-3,encode/httpx,0.946,0.838
ionelmc/python-manhole,khamidou/lptrace,0.878,0.825
idan/oauthlib,omab/python-social-auth,0.437,0.312
patx/pickledb,boppreh/mouse,0.787,0.56
pykong/copier,pallets/werkzeug,0.231,0.682
spotify/annoy,fabtools/fabtools,0.842,0.83
scanny/python-pptx,pyexcel/pyexcel,0.061,0.27
flask-api/flask-api,mozilla/unicode-slugify,0.091,0.461
WiserTogether/django-remote-forms,django-crispy-forms/django-crispy-forms,0.386,0.238
facebook/pyre-check,jet-admin/jet-bridge,0.219,0.281
python/typeshed,facebook/pyre-check,0.64,0.542
google/pytype,wooey/wooey,0.883,0.505
zachwill/moment,librosa/librosa,0.069,0.124
wooey/wooey,kornia/kornia,0.243,0.115
benhamner/Metrics,h2oai/h2o-3,0.021,0.032
amitt001/delegator.py,amitt001/delegator.py,0.066,0.06
pyexcel/pyexcel,python-openxml/python-docx,0.124,0.054
evonove/django-oauth-toolkit,joestump/python-oauth2,0.158,0.093
python-pillow/Pillow,dylanaraps/pywal,0.233,0.59
Alir3z4/html2text,sqlmapproject/sqlmap,0.837,0.548
python-attrs/attrs,jet-admin/jet-bridge,0.867,0.067
jeffknupp/sandman2,tiangolo/fastapi,0.206,0.042
Alir3z4/python-currencies,ryanmcgrath/twython,0.442,0.097
davidhalter/jedi,davidhalter/jedi-vim,0.212,0.135
lepture/mistune,waylan/Python-Markdown,0.137,0.255
indico/indico,stephenmcd/mezzanine,0.061,0.135
sdispater/poetry,sdispater/poetry,0.63,0.351
geex-arts/django-jet,geopy/geopy,0.639,0.242
django-haystack/django-haystack,pytransitions/transitions,0.788,0.547
rkern/line_profiler,michaelhelmick/lassie,0.7,0.417
indico/indico,Kotti/Kotti,0.057,0.187
