repo1,repo2,Similarity(No. 1),Similarity(No. 2)
WhyNotHugo/python-barcode,xonsh/xonsh,0.265,0.729
libvips/pyvips,tschellenbach/Stream-Framework,0.558,0.741
vinta/pangu.py,ztane/python-Levenshtein,0.104,0.309
python-trio/trio,mkdocs/mkdocs,0.209,0.466
keunwoochoi/kapre,marshmallow-code/marshmallow,0.262,0.373
pyeve/eve,flask-restful/flask-restful,0.344,0.276
stanfordnlp/stanza,fxsjy/jieba,0.112,0.102
dahlia/wand,dahlia/wand,0.222,0.058
sdispater/poetry,conda/conda,0.106,0.038
google/pytype,google/pytype,0.093,0.077
mher/flower,elapouya/python-docx-template,0.696,0.327
keras-team/keras,ovalhub/pyicu,0.88,0.527
django-haystack/pysolr,Julian/jsonschema,0.135,0.133
laixintao/iredis,dbcli/pgcli,0.335,0.128
zopefoundation/ZODB,msiemens/tinydb,0.115,0.182
ansible/ansible,mobolic/facebook-sdk,0.395,0.114
python-excel/xlrd,jmcnamara/XlsxWriter,0.075,0.241
pyparsing/pyparsing,benfred/implicit,0.14,0.229
sshwsfc/xadmin,sshwsfc/xadmin,0.228,0.122
miracle2k/flask-assets,miracle2k/webassets,0.336,0.079
openai/gym,mindsdb/mindsdb,0.184,0.453
fogleman/Quads,justquick/django-activity-stream,0.1,0.445
benfred/py-spy,uber/pyflame,0.142,0.042
skorokithakis/shortuuid,skorokithakis/shortuuid,0.105,0.101
PyMySQL/mysqlclient-python,robinhood/faust,0.64,0.189
burnash/gspread,google/google-api-python-client,0.53,0.056
robotframework/robotframework,nose-devs/nose2,0.032,0.156
cloudnativelabs/kube-shell,laixintao/iredis,0.106,0.119
sqlmapproject/sqlmap,joke2k/faker,0.181,0.424
boppreh/mouse,Parisson/TimeSide,0.078,0.344
lorien/grab,dbader/schedule,0.356,0.137
s3tools/s3cmd,noxrepo/pox,0.147,0.186
timofurrer/try,henriquebastos/python-decouple,0.162,0.416
codelucas/newspaper,codelucas/newspaper,0.085,0.207
hhatto/nude.py,WhyNotHugo/python-barcode,0.152,0.035
ionelmc/python-hunter,ionelmc/python-hunter,0.158,0.08
rossgoodwin/hmap,libvips/pyvips,0.115,0.086
facebookresearch/hydra,henriquebastos/python-decouple,0.048,0.106
jiaaro/pydub,saffsd/langid.py,0.741,0.039
metawilm/cl-python,facebook/pyre-check,0.883,0.127
BVLC/caffe,bloomreach/s4cmd,0.961,0.791
python-trio/trio,python-trio/trio,0.637,0.6
un33k/python-slugify,jeffknupp/sandman2,0.668,0.594
pyparsing/pyparsing,un33k/python-slugify,0.375,0.651
vandersonmota/model_mommy,vandersonmota/model_mommy,0.046,0.173
zoofIO/flexx,pyglet/pyglet,0.106,0.059
codelucas/newspaper,coleifer/micawber,0.534,0.176
ageitgey/face_recognition,dylanaraps/pywal,0.375,0.367
chardet/chardet,ztane/python-Levenshtein,0.042,0.601
crossbario/autobahn-python,myusuf3/delorean,0.06,0.595
bloomreach/s4cmd,bloomreach/s4cmd,0.076,0.048
beetbox/audioread,Parisson/TimeSide,0.064,0.04
fabianp/memory_profiler,jindaxiang/akshare,0.255,0.515
joestump/python-oauth2,seatgeek/sixpack,0.367,0.69
buriy/python-readability,mwaskom/seaborn,0.442,0.398
keleshev/schema,waylan/Python-Markdown,0.082,0.766
awesto/django-shop,carlospalol/money,0.085,0.102
pyfilesystem/pyfilesystem2,ahupp/python-magic,0.07,0.12
dfunckt/django-rules,benedekrozemberczki/karateclub,0.797,0.643
devsnd/tinytag,rkern/line_profiler,0.064,0.665
pyexcel/pyexcel,scanny/python-pptx,0.289,0.133
keras-team/keras,pyfilesystem/pyfilesystem2,0.148,0.241
devpi/devpi,devpi/devpi,0.045,0.044
Parisson/TimeSide,sergree/matchering,0.075,0.084
buriy/python-readability,gaojiuli/toapi,0.074,0.185
twisted/treq,twisted/treq,0.045,0.24
deanmalmgren/textract,Alir3z4/html2text,0.114,0.225
vandersonmota/model_mommy,hhatto/nude.py,0.526,0.337
fabianp/memory_profiler,uber/pyflame,0.093,0.063
MechanicalSoup/MechanicalSoup,MechanicalSoup/MechanicalSoup,0.056,0.047
django/channels,django/channels,0.076,0.367
gawel/pyquery,pytoolz/toolz,0.117,0.287
worldveil/dejavu,beetbox/audioread,0.312,0.572
tschellenbach/Stream-Framework,davidaurelio/hashids-python,0.456,0.458
soravux/scoop,KoffeinFlummi/Chronyk,0.732,0.853
geex-arts/django-jet,flask-admin/flask-admin,0.323,0.713
FactoryBoy/factory_boy,ionelmc/python-manhole,0.333,0.448
encode/uvicorn,django/daphne,0.075,0.396
orsinium/textdistance,pyenv/pyenv,0.737,0.536
evonove/django-oauth-toolkit,spyoungtech/grequests,0.229,0.444
fabianp/memory_profiler,AtsushiSakai/PythonRobotics,0.146,0.45
carlosescri/DottedDict,PyMySQL/mysqlclient-python,0.537,0.547
ponyorm/pony,coleifer/peewee,0.216,0.059
codeinthehole/purl,codeinthehole/purl,0.05,0.039
antocuni/pdb,gotcha/ipdb,0.155,0.45
ray-project/ray,altair-viz/altair,0.12,0.355
coleifer/micawber,spotify/luigi,0.487,0.281
boppreh/mouse,boppreh/keyboard,0.21,0.37
encode/orm,ponyorm/pony,0.18,0.101
fabric/fabric,fabtools/fabtools,0.153,0.074
pwaller/pyfiglet,vinta/pangu.py,0.145,0.086
sdispater/orator,MasoniteFramework/masonite,0.266,0.294
ZoomerAnalytics/xlwings,elapouya/python-docx-template,0.124,0.129
gak/pycallgraph,coala/coala,0.134,0.235
jonashaag/bjoern,pallets/werkzeug,0.589,0.118
encode/orm,wireservice/csvkit,0.927,0.134
django/daphne,vispy/vispy,0.341,0.796
coleifer/peewee,web2py/pydal,0.185,0.778
nose-devs/nose2,ponyorm/pony,0.897,0.616
PyCQA/modernize,django-guardian/django-guardian,0.974,0.668
shazow/urllib3,psf/requests,0.327,0.326
dahlia/awesome-sqlalchemy,wooey/wooey,0.79,0.411
python-openxml/python-docx,scanny/python-pptx,0.184,0.063
getsentry/sentry-python,laixintao/iredis,0.211,0.157
psf/requests-html,jpadilla/pyjwt,0.544,0.202
audreyr/cookiecutter,jek/blinker,0.378,0.262
dmlc/xgboost,benhamner/Metrics,0.118,0.264
altair-viz/altair,dylanaraps/pywal,0.223,0.2
sympy/sympy,quantopian/zipline,0.147,0.164
spotify/luigi,Yelp/mrjob,0.326,0.202
geex-arts/django-jet,geex-arts/django-jet,0.239,0.631
metawilm/cl-python,lxneng/alipay,0.731,0.795
sunainapai/makesite,gak/pycallgraph,0.966,0.353
mooz/percol,nvbn/thefuck,0.795,0.442
jet-admin/jet-bridge,geex-arts/django-jet,0.092,0.077
timofurrer/maya,sdispater/pendulum,0.073,0.063
chardet/chardet,mobolic/facebook-sdk,0.518,0.581
klen/mixer,miracle2k/webassets,0.284,0.536
facebookresearch/pytext,facebookresearch/pytext,0.042,0.059
ZoomerAnalytics/xlwings,ZoomerAnalytics/xlwings,0.026,0.03
benedekrozemberczki/karateclub,sympy/sympy,0.467,0.91
saltstack/salt,ibayer/fastFM,0.755,0.892
pynamodb/PynamoDB,httplib2/httplib2,0.22,0.233
statsmodels/statsmodels,dahlia/awesome-sqlalchemy,0.493,0.161
python-attrs/attrs,carlosescri/DottedDict,0.221,0.332
prabhupant/python-ds,martinblech/xmltodict,0.125,0.362
feincms/feincms,peterbrittain/asciimatics,0.857,0.266
pallets/werkzeug,Fizzadar/pyinfra,0.555,0.332
altair-viz/altair,SciTools/cartopy,0.136,0.068
statsmodels/statsmodels,benedekrozemberczki/karateclub,0.147,0.155
sloria/doitlive,timofurrer/try,0.523,0.261
AtsushiSakai/PythonRobotics,antocuni/pdb,0.762,0.256
gak/pycallgraph,rossgoodwin/hmap,0.539,0.062
mstamy2/PyPDF2,derek73/python-nameparser,0.374,0.097
chapmanb/bcbb,statsmodels/statsmodels,0.103,0.065
bloomberg/bqplot,bloomberg/bqplot,0.24,0.038
elapouya/python-docx-template,dfunckt/django-rules,0.142,0.586
blaze/blaze,dateutil/dateutil,0.041,0.739
rossgoodwin/hmap,daboth/pagan,0.322,0.397
marrow/mailer,linkedin/shiv,0.561,0.623
jeffknupp/sandman2,huge-success/sanic,0.716,0.554
pallets/werkzeug,idan/oauthlib,0.66,0.498
schematics/schematics,podio/valideer,0.036,0.055
pallets/markupsafe,pallets/markupsafe,0.211,0.09
wireservice/csvkit,wireservice/csvkit,0.012,0.024
metawilm/cl-python,metawilm/cl-python,0.106,0.075
pythonnet/pythonnet,pythonnet/pythonnet,0.313,0.097
gaojiuli/toapi,psf/requests-html,0.081,0.025
bokeh/bokeh,Theano/Theano,0.097,0.198
myusuf3/delorean,KoffeinFlummi/Chronyk,0.219,0.175
wireservice/csvkit,cdgriffith/Box,0.497,0.439
sebastien/cuisine,mstamy2/PyPDF2,0.287,0.455
sdispater/orator,fabric/fabric,0.623,0.913
dbcli/pgcli,web2py/pydal,0.258,0.858
rossgoodwin/hmap,rossgoodwin/hmap,0.057,0.029
emirozer/fake2db,emirozer/fake2db,0.019,0.061
stephenmcd/mezzanine,stephenmcd/mezzanine,0.251,0.147
nvbn/thefuck,mitmproxy/pdoc,0.305,0.204
carlosescri/DottedDict,cdgriffith/Box,0.139,0.095
awslabs/aws-data-wrangler,blaze/blaze,0.082,0.07
pricingassistant/mrq,thumbor/thumbor,0.891,0.428
deanmalmgren/textract,buriy/python-readability,0.508,0.307
fabianp/memory_profiler,codeinthehole/purl,0.962,0.986
nvbn/thefuck,pymc-devs/pymc3,0.917,0.976
evhub/coconut,evhub/coconut,0.13,0.067
chapmanb/bcbb,benedekrozemberczki/karateclub,0.086,0.059
omab/python-social-auth,MagicStack/uvloop,0.768,0.489
pytransitions/transitions,Pylons/waitress,0.906,0.524
Julian/jsonschema,Julian/jsonschema,0.049,0.05
gak/pycallgraph,gak/pycallgraph,0.041,0.036
elastic/elasticsearch-dsl-py,jek/blinker,0.33,0.294
fabtools/fabtools,sebastien/cuisine,0.086,0.301
mkdocs/mkdocs,getpelican/pelican,0.255,0.46
quantopian/zipline,gabrielfalcao/HTTPretty,0.741,0.737
antocuni/pdb,metawilm/cl-python,0.772,0.352
wireservice/csvkit,tartiflette/tartiflette-aiohttp,0.431,0.174
google/yapf,chineking/cola,0.664,0.159
mitsuhiko/pluginbase,Suor/django-cacheops,0.421,0.211
vispy/vispy,mingrammer/diagrams,0.445,0.042
dmlc/xgboost,openai/gym,0.327,0.09
NicolasHug/Surprise,ibayer/fastFM,0.144,0.317
nvbn/thefuck,henriquebastos/python-decouple,0.225,0.274
tyiannak/pyAudioAnalysis,keunwoochoi/kapre,0.085,0.049
lxneng/alipay,awesto/django-shop,0.026,0.033
MechanicalSoup/MechanicalSoup,binux/pyspider,0.046,0.074
NicolasHug/Surprise,NicolasHug/Surprise,0.074,0.171
kootenpv/yagmail,nvdv/vprof,0.733,0.321
Cornices/cornice,jonathanslenders/python-prompt-toolkit,0.334,0.15
altair-viz/altair,altair-viz/altair,0.085,0.741
sunainapai/makesite,lepture/authlib,0.232,0.646
FactoryBoy/factory_boy,davidhalter/jedi,0.824,0.466
ageitgey/face_recognition,sergree/matchering,0.665,0.266
MechanicalSoup/MechanicalSoup,Pylons/deform,0.571,0.047
benedekrozemberczki/karateclub,chapmanb/bcbb,0.216,0.068
pyparsing/pyparsing,derek73/python-nameparser,0.065,0.169
keras-team/keras,dmlc/mxnet,0.085,0.213
lancopku/pkuseg-python,stanfordnlp/stanza,0.174,0.058
mikeorr/Unipath,ahupp/python-magic,0.228,0.07
dahlia/wand,fogleman/Quads,0.073,0.096
myusuf3/delorean,dirn/When.py,0.046,0.084
mining/mining,mining/mining,0.28,0.079
shinux/PyTime,sdispater/pendulum,0.149,0.076
zachwill/moment,dahlia/awesome-sqlalchemy,0.654,0.229
jiaaro/pydub,worldveil/dejavu,0.54,0.223
geex-arts/django-jet,mher/flower,0.557,0.558
uber/pyflame,wooey/wooey,0.921,0.691
google/pytype,ionelmc/python-manhole,0.366,0.06
pallets/markupsafe,google/google-api-python-client,0.555,0.039
burnash/gspread,istrategylabs/django-wordpress,0.264,0.089
mingrammer/diagrams,mwaskom/seaborn,0.554,0.054
jmcarp/robobrowser,MechanicalSoup/MechanicalSoup,0.029,0.059
clips/pattern,clips/pattern,0.049,0.054
platformio/platformio-core,chineking/cola,0.253,0.106
pyinvoke/invoke,mooz/percol,0.152,0.13
benfred/implicit,maciejkula/spotlight,0.066,0.042
nvbn/thefuck,sloria/doitlive,0.04,0.058
boto/boto3,boppreh/keyboard,0.157,0.559
lorien/grab,lorien/grab,0.031,0.503
django/channels,jazzband/django-pipeline,0.379,0.738
sdispater/pendulum,spotify/dh-virtualenv,0.86,0.808
MicroPyramid/forex-python,awesto/django-shop,0.117,0.048
quantopian/zipline,Delgan/loguru,0.13,0.047
carlospalol/money,agiliq/merchant,0.213,0.156
feincms/feincms,Kotti/Kotti,0.14,0.108
TheAlgorithms/Python,dmlc/xgboost,0.158,0.807
pallets/markupsafe,saffsd/langid.py,0.207,0.693
r0x0r/pywebview,mining/mining,0.696,0.339
lorien/grab,kiwicom/schemathesis,0.635,0.465
Parisson/TimeSide,pyeve/eve,0.117,0.599
vinta/pangu.py,seatgeek/fuzzywuzzy,0.162,0.459
jschneier/django-storages,jazzband/django-pipeline,0.177,0.085
alecthomas/voluptuous,keleshev/schema,0.101,0.139
Alir3z4/python-currencies,binux/pyspider,0.123,0.144
shinux/PyTime,miracle2k/flask-assets,0.672,0.093
ahupp/python-magic,gorakhargosh/watchdog,0.038,0.128
facebookresearch/pytext,isnowfy/snownlp,0.064,0.149
sshwsfc/xadmin,psf/requests,0.18,0.646
libvips/pyvips,gaojiuli/toapi,0.06,0.711
zachwill/moment,nvbn/thefuck,0.215,0.828
gabrielfalcao/HTTPretty,gabrielfalcao/HTTPretty,0.131,0.791
jmcnamara/XlsxWriter,gorakhargosh/watchdog,0.445,0.596
pyca/pynacl,falconry/falcon,0.073,0.653
klen/pylama,s3tools/s3cmd,0.796,0.163
klen/mixer,FactoryBoy/factory_boy,0.545,0.203
encode/apistar,django/channels,0.285,0.206
gleitz/howdoi,pyinvoke/invoke,0.25,0.253
shinux/PyTime,KoffeinFlummi/Chronyk,0.464,0.383
klen/pylama,django-crispy-forms/django-crispy-forms,0.895,0.503
dmlc/mxnet,google/pyringe,0.822,0.549
html5lib/html5lib-python,fabric/fabric,0.926,0.276
flask-api/flask-api,rsalmei/alive-progress,0.572,0.456
beetbox/beets,nicfit/eyeD3,0.175,0.552
chineking/cola,mozillazg/python-pinyin,0.47,0.325
s3tools/s3cmd,jindaxiang/akshare,0.12,0.34
Alir3z4/html2text,psf/requests-html,0.129,0.114
linkedin/shiv,spotify/dh-virtualenv,0.387,0.223
klen/pylama,librosa/librosa,0.033,0.096
pricingassistant/mrq,kiddouk/redisco,0.129,0.146
librosa/librosa,worldveil/dejavu,0.125,0.219
unoconv/unoconv,Microsoft/PTVS,0.467,0.148
maxmind/geoip-api-python,django/django,0.144,0.738
libvips/pyvips,SerpentAI/SerpentAI,0.079,0.634
frewsxcv/python-geojson,lk-geimfari/mimesis,0.776,0.256
pallets/itsdangerous,magenta/magenta,0.611,0.332
mozillazg/python-pinyin,jendrikseipp/vulture,0.201,0.55
dahlia/wand,WhyNotHugo/python-barcode,0.204,0.48
devsnd/tinytag,beetbox/beets,0.098,0.323
marshmallow-code/marshmallow,stephenmcd/mezzanine,0.643,0.423
kootenpv/yagmail,jonashaag/bjoern,0.19,0.086
WhyNotHugo/python-barcode,lincolnloop/python-qrcode,0.121,0.039
python-pillow/Pillow,rossgoodwin/hmap,0.203,0.287
WiserTogether/django-remote-forms,khamidou/lptrace,0.691,0.446
davidhalter/jedi,mozilla/unicode-slugify,0.103,0.564
benedekrozemberczki/karateclub,statsmodels/statsmodels,0.113,0.406
fxsjy/jieba,facebookresearch/pytext,0.139,0.311
Parisson/TimeSide,tyiannak/pyAudioAnalysis,0.434,0.232
aaugustin/websockets,django/channels,0.025,0.152
dahlia/wand,daboth/pagan,0.054,0.07
ionelmc/python-hunter,codeinthehole/purl,0.819,0.773
pyca/pynacl,LuminosoInsight/python-ftfy,0.778,0.778
erikrose/more-itertools,dmlc/mxnet,0.624,0.339
binux/pyspider,MechanicalSoup/MechanicalSoup,0.135,0.214
django-compressor/django-compressor,jschneier/django-storages,0.34,0.568
mininet/mininet,psf/requests-html,0.53,0.764
stephenmcd/hot-redis,WhyNotHugo/python-barcode,0.973,0.683
selwin/python-user-agents,coala/coala,0.652,0.59
pybee/toga,r0x0r/pywebview,0.038,0.161
mozilla/unicode-slugify,un33k/python-slugify,0.043,0.245
boppreh/keyboard,ageitgey/face_recognition,0.829,0.24
flask-api/flask-api,geex-arts/django-jet,0.811,0.317
jet-admin/jet-bridge,carlospalol/money,0.81,0.408
mahmoud/boltons,pallets/itsdangerous,0.799,0.597
hhatto/nude.py,dylanaraps/pywal,0.218,0.082
clips/pattern,fxsjy/jieba,0.248,0.093
dask/dask,istrategylabs/django-wordpress,0.822,0.757
python-excel/xlrd,stanfordnlp/stanza,0.946,0.532
khamidou/lptrace,google/pyringe,0.188,0.415
Miserlou/Zappa,Pylons/deform,0.355,0.222
ovalhub/pyicu,errbotio/errbot,0.62,0.283
lericson/pylibmc,platformio/platformio-core,0.268,0.429
pyfilesystem/pyfilesystem2,jaraco/path.py,0.05,0.092
fxsjy/jieba,clips/pattern,0.227,0.128
django-compressor/django-compressor,jazzband/django-pipeline,0.378,0.695
JaidedAI/EasyOCR,laixintao/iredis,0.723,0.771
google/google-api-python-client,gleitz/howdoi,0.196,0.544
crossbario/autobahn-python,crossbario/autobahn-python,0.132,0.681
pricingassistant/mrq,Bogdanp/dramatiq,0.196,0.158
encode/apistar,jeffknupp/sandman2,0.033,0.075
myusuf3/delorean,dateutil/dateutil,0.08,0.147
mher/flower,ajenti/ajenti,0.088,0.123
jek/blinker,magenta/magenta,0.166,0.089
lxneng/alipay,MicroPyramid/forex-python,0.066,0.065
wemake-services/wemake-python-styleguide,pyca/pynacl,0.349,0.08
istrategylabs/django-wordpress,istrategylabs/django-wordpress,0.189,0.072
pyexcel/pyexcel,pennersr/django-allauth,0.78,0.726
mwaskom/seaborn,SciTools/cartopy,0.511,0.585
Pylons/deform,pytransitions/transitions,0.492,0.149
frewsxcv/python-geojson,frewsxcv/python-geojson,0.421,0.143
indico/indico,python-pillow/Pillow,0.847,0.662
python/typeshed,Parsely/streamparse,0.915,0.764
dyve/django-bootstrap3,dyve/django-bootstrap3,0.286,0.374
dbader/schedule,bpython/bpython,0.394,0.477
aws/aws-cli,gunnery/gunnery,0.583,0.107
conda/conda,MagicStack/uvloop,0.696,0.146
agiliq/merchant,orsinium/textdistance,0.604,0.481
pypa/virtualenv,WhyNotHugo/python-barcode,0.067,0.553
rossgoodwin/hmap,pykong/copier,0.88,0.725
python-trio/trio,mpdavis/python-jose,0.567,0.742
pyinvoke/invoke,audreyr/cookiecutter,0.428,0.801
fabianp/memory_profiler,flask-admin/flask-admin,0.468,0.789
ellisonleao/pyshorteners,ellisonleao/pyshorteners,0.059,0.058
rq/rq,pytransitions/transitions,0.175,0.206
SerpentAI/SerpentAI,jmcnamara/XlsxWriter,0.156,0.328
khamidou/lptrace,nvbn/thefuck,0.257,0.471
ahupp/python-magic,mikeorr/Unipath,0.204,0.175
Alir3z4/html2text,michaelhelmick/lassie,0.137,0.066
statsmodels/statsmodels,mkdocs/mkdocs,0.777,0.418
keras-team/keras,blaze/blaze,0.61,0.5
conda/conda,antocuni/pdb,0.639,0.165
schematics/schematics,keleshev/schema,0.308,0.153
euske/pdfminer,euske/pdfminer,0.378,0.126
django-haystack/django-haystack,zostera/django-bootstrap4,0.353,0.2
NicolasHug/Surprise,benfred/implicit,0.752,0.906
ibayer/fastFM,mher/flower,0.367,0.944
coala/coala,gak/pycallgraph,0.05,0.163
dahlia/awesome-sqlalchemy,web2py/pydal,0.141,0.151
bokeh/bokeh,mwaskom/seaborn,0.102,0.075
sloria/doitlive,pykong/copier,0.239,0.173
timofurrer/try,nvbn/thefuck,0.046,0.067
stephenmcd/mezzanine,feincms/feincms,0.161,0.04
bokeh/bokeh,dateutil/dateutil,0.366,0.664
stephenmcd/mezzanine,nose-devs/nose2,0.583,0.69
ryanmcgrath/twython,burnash/gspread,0.139,0.054
jakubroztocil/httpie,dbcli/pgcli,0.106,0.079
jonathanslenders/python-prompt-toolkit,nvdv/vprof,0.026,0.07
cdgriffith/Box,cdgriffith/Box,0.07,0.071
ztane/python-Levenshtein,seatgeek/fuzzywuzzy,0.65,0.66
keon/algorithms,jakubroztocil/httpie,0.62,0.653
bokeh/bokeh,vispy/vispy,0.66,0.884
lektor/lektor,keras-team/keras,0.721,0.838
emirozer/fake2db,lk-geimfari/mimesis,0.02,0.101
BVLC/caffe,Theano/Theano,0.084,0.169
lepture/authlib,evonove/django-oauth-toolkit,0.083,0.068
fogleman/Quads,libvips/pyvips,0.046,0.071
vispy/vispy,tiangolo/fastapi,0.567,0.834
twisted/treq,django-cache-machine/django-cache-machine,0.73,0.869
pyenv/pyenv,pyenv/pyenv,0.026,0.049
awslabs/aws-data-wrangler,awslabs/aws-data-wrangler,0.078,0.037
devsnd/tinytag,DamnWidget/anaconda,0.138,0.275
alecthomas/voluptuous,alecthomas/voluptuous,0.106,0.33
LuminosoInsight/python-ftfy,pwaller/pyfiglet,0.247,0.078
ibayer/fastFM,spotify/annoy,0.286,0.183
lincolnloop/python-qrcode,fogleman/Quads,0.046,0.677
tiangolo/fastapi,myusuf3/delorean,0.176,0.569
maxmind/geoip-api-python,frewsxcv/python-geojson,0.31,0.236
saltstack/salt,rochacbruno/quokka,0.18,0.228
sergree/matchering,ahupp/python-magic,0.176,0.159
Alir3z4/python-currencies,tartiflette/tartiflette-aiohttp,0.18,0.143
fxsjy/jieba,saffsd/langid.py,0.084,0.062
getpelican/pelican,getnikola/nikola,0.037,0.034
burnash/gspread,mobolic/facebook-sdk,0.085,0.356
nose-devs/nose2,stephenmcd/hot-redis,0.045,0.415
hugapi/hug,jmcnamara/XlsxWriter,0.147,0.805
isnowfy/snownlp,pycco-docs/pycco,0.321,0.918
deanmalmgren/textract,gunnery/gunnery,0.692,0.536
getnikola/nikola,getnikola/nikola,0.42,0.648
ChrisKnott/Eel,zoofIO/flexx,0.078,0.522
mozillazg/python-pinyin,MagicStack/uvloop,0.648,0.739
Alir3z4/python-currencies,martinblech/xmltodict,0.763,0.172
cdgriffith/Box,django-compressor/django-compressor,0.961,0.211
codelucas/newspaper,buriy/python-readability,0.849,0.56
jmcnamara/XlsxWriter,coleifer/micawber,0.781,0.648
mpdavis/python-jose,jpadilla/pyjwt,0.278,0.922
devpi/devpi,benfred/implicit,0.454,0.78
jek/blinker,mahmoud/boltons,0.308,0.198
pallets/itsdangerous,SavinaRoja/PyUserInput,0.499,0.154
daboth/pagan,thumbor/thumbor,0.106,0.149
flask-admin/flask-admin,ajenti/ajenti,0.052,0.245
Parisson/TimeSide,librosa/librosa,0.361,0.254
google/pytype,moggers87/salmon,0.941,0.363
Pylons/waitress,jonashaag/bjoern,0.416,0.559
PySimpleGUI/PySimpleGUI,r0x0r/pywebview,0.611,0.33
orsinium/textdistance,ztane/python-Levenshtein,0.036,0.145
Theano/Theano,keras-team/keras,0.081,0.159
Alir3z4/html2text,dbcli/litecli,0.618,0.835
nucleic/enaml,PySimpleGUI/PySimpleGUI,0.35,0.72
RaylockLLC/DearPyGui,pyglet/pyglet,0.136,0.036
ibayer/fastFM,ibayer/fastFM,0.053,0.063
sergree/matchering,asweigart/pyautogui,0.506,0.444
chriskiehl/Gooey,jazzband/localshop,0.546,0.236
bloomberg/bqplot,mingrammer/diagrams,0.412,0.51
evhub/coconut,keon/algorithms,0.667,0.566
PetrochukM/PyTorch-NLP,lancopku/pkuseg-python,0.075,0.184
pallets/itsdangerous,mitsuhiko/pluginbase,0.173,0.154
martinrusev/imbox,errbotio/errbot,0.212,0.169
audreyr/cookiecutter,pykong/copier,0.423,0.083
evhub/coconut,inducer/pudb,0.085,0.113
dimka665/awesome-slugify,mozilla/unicode-slugify,0.103,0.094
PySimpleGUI/PySimpleGUI,zoofIO/flexx,0.689,0.228
abhiTronix/vidgear,skorokithakis/shortuuid,0.749,0.4
